X,Y,Disp_x,Disp_y
0.3475,-0.05,-0.015845459261141,-0.05555344681808
0.35,-0.05,-0.0159594591190878,-0.0563485960758861
0.3525,-0.05,-0.0160734590031748,-0.057149445274581
0.355,-0.05,-0.016187458919619,-0.0579559944107721
0.3575,-0.05,-0.0163014588755816,-0.0587682434811721
0.36,-0.05,-0.0164154588792758,-0.0595861924826754
0.3625,-0.05,-0.0165294589400832,-0.0604098414124497
0.365,-0.05,-0.0166434590686799,-0.0612391902680448
0.3675,-0.05,-0.0167574592771699,-0.0620742390475202
0.37,-0.05,-0.0168714595792293,-0.0629149877495949
0.3725,-0.05,-0.0169854599902574,-0.0637614363738222
0.375,-0.05,-0.0170994605275379,-0.0646135849207909
0.3775,-0.05,-0.0172134612104071,-0.0654714333923586
0.38,-0.05,-0.0173274620604291,-0.0663349817919184
0.3825,-0.05,-0.0174414631015777,-0.0672042301247039
0.385,-0.05,-0.0175554643604229,-0.0680791783981371
0.3875,-0.05,-0.0176694658663202,-0.0689598266222215
0.39,-0.05,-0.017783467651601,-0.0698461748099878
0.3925,-0.05,-0.0178974697517614,-0.0707382229779952
0.395,-0.05,-0.0180114722056463,-0.0716359711468945
0.3975,-0.05,-0.018125475055625,-0.0725394193420576
0.4,-0.05,-0.0182394783477542,-0.0734485675942814
0.4025,-0.05,-0.0183534821319237,-0.0743634159405697
0.405,-0.05,-0.0184674864619789,-0.0752839644250015
0.4075,-0.05,-0.0185814913958137,-0.0762102130996927
0.41,-0.05,-0.0186954969954272,-0.0771421620258576
0.4125,-0.05,-0.0188095033269359,-0.078079811274979
0.415,-0.05,-0.0189235104605336,-0.0790231609300958
0.4175,-0.05,-0.0190375184703893,-0.079972211087218
0.42,-0.05,-0.0191515274344727,-0.0809269618568802
0.4225,-0.05,-0.0192655374342994,-0.0818874133658464
0.425,-0.05,-0.019379548554582,-0.0828535657589838
0.4275,-0.05,-0.0194935608827793,-0.0838254192013223
0.43,-0.05,-0.0196075745085314,-0.0848029738803296
0.4325,-0.05,-0.0197215895229703,-0.0857862300084297
0.435,-0.05,-0.0198356060178971,-0.0867751878258124
0.4375,-0.05,-0.0199496240848152,-0.0877698476035892
0.44,-0.05,-0.0200636438138132,-0.0887702096473761
0.4425,-0.05,-0.0201776652922873,-0.0897762743014099
0.445,-0.05,-0.020291688603498,-0.0907880419533464
0.4475,-0.05,-0.0204057138249518,-0.0918055130399453
0.45,-0.05,-0.0205197410265963,-0.0928286880539266
0.4525,-0.05,-0.0206337702688122,-0.0938575675524006
0.455,-0.05,-0.0207478016001676,-0.0948921521674402
0.4575,-0.05,-0.0208618350548771,-0.0959324426196117
0.46,-0.05,-0.0209758706498521,-0.096978439735654
0.4625,-0.05,-0.0210899083811335,-0.0980301444720635
0.465,-0.05,-0.0212039482193073,-0.0990875579472359
0.4675,-0.05,-0.0213179901031391,-0.100150681486249
0.47,-0.05,-0.0214320339299318,-0.101219516684739
0.4725,-0.05,-0.0215460795396297,-0.102294065502315
0.475,-0.05,-0.0216601266866098,-0.103374330402973
0.4775,-0.05,-0.0217741749865944,-0.10446031457246
0.48,-0.05,-0.0218882238121637,-0.105552022265775
0.4825,-0.05,-0.0220022720800781,-0.106649459382425
0.485,-0.05,-0.0221163178075605,-0.107752634456198
0.4875,-0.05,-0.0222303571708446,-0.108861560436931
0.49,-0.05,-0.0223443824938041,-0.10997625809694
0.4925,-0.05,-0.0224583780149319,-0.11109676320773
0.495,-0.05,-0.0225723118661527,-0.112223144859015
0.4975,-0.05,-0.0226861323569928,-0.113355576856535
0.5,-0.05,-0.0228,-0.114494957886992
0,-0.0475,0,-0.000435623586312053
0.0025,-0.0475,-0.00010804101895604,-0.000439577398591647
0.005,-0.0475,-0.000216548791512006,-0.000449180529776651
0.0075,-0.0475,-0.000324968690191219,-0.000464099695383129
0.01,-0.0475,-0.000433323269718788,-0.000484515490337891
0.0125,-0.0475,-0.00054163985817511,-0.000510513962547528
0.015,-0.0475,-0.000649934637858609,-0.000542137668853493
0.0175,-0.0475,-0.000758216755530574,-0.00057940981532867
0.02,-0.0475,-0.000866491458106088,-0.000622344148757083
0.0225,-0.0475,-0.000974761855810344,-0.000670949409222198
0.025,-0.0475,-0.00108302986852516,-0.00072523150390485
0.0275,-0.0475,-0.00119129673265184,-0.000785194639905223
0.03,-0.0475,-0.00129956327648151,-0.000850841948706388
0.0325,-0.0475,-0.00140783007339214,-0.000922175848245852
0.035,-0.0475,-0.00151609752973975,-0.000999198262704432
0.0375,-0.0475,-0.00162436593715502,-0.00108191076155554
0.04,-0.0475,-0.00173263550496174,-0.00117031465083497
0.0425,-0.0475,-0.00184090638117888,-0.00126441103503657
0.045,-0.0475,-0.00194917866676046,-0.00136420086032533
0.0475,-0.0475,-0.00205745242569499,-0.00146968494551019
0.05,-0.0475,-0.00216572769247873,-0.00158086400478981
0.0525,-0.0475,-0.00227400447785996,-0.00169773866484522
0.055,-0.0475,-0.00238228277339942,-0.00182030947797274
0.0575,-0.0475,-0.00249056255518644,-0.00194857693239506
0.06,-0.0475,-0.0025988437869278,-0.00208254146052884
0.0625,-0.0475,-0.00270712642255167,-0.00222220344574901
0.065,-0.0475,-0.00281541040842292,-0.00236756322802949
0.0675,-0.0475,-0.00292369568523697,-0.00251862110872951
0.07,-0.0475,-0.00303198218964107,-0.00267537735471875
0.0725,-0.0475,-0.00314026985562017,-0.00283783220198041
0.075,-0.0475,-0.00324855861567633,-0.00300598585879381
0.0775,-0.0475,-0.00335684840182613,-0.0031798385085709
0.08,-0.0475,-0.00346513914643644,-0.00335939031240237
0.0825,-0.0475,-0.00357343078291665,-0.00354464141135478
0.085,-0.0475,-0.00368172324628369,-0.00373559192855077
0.0875,-0.0475,-0.00379001647361433,-0.00393224197105733
0.09,-0.0475,-0.00389831040439841,-0.00413459163160175
0.0925,-0.0475,-0.00400660498080516,-0.0043426409901319
0.095,-0.0475,-0.004114900147874,-0.00455639011523416
0.0975,-0.0475,-0.00422319585364017,-0.00477583906542105
0.1,-0.0475,-0.00433149204920459,-0.00500098789029879
0.1025,-0.0475,-0.00443978868875646,-0.00523183663162425
0.105,-0.0475,-0.00454808572955643,-0.00546838532425984
0.1075,-0.0475,-0.00465638313188705,-0.00571063399703411
0.11,-0.0475,-0.0047646808589769,-0.00595858267351569
0.1125,-0.0475,-0.00487297887690359,-0.00621223137270726
0.115,-0.0475,-0.00498127715448063,-0.00647158010966625
0.1175,-0.0475,-0.00508957566313215,-0.00673662889605822
