X,Y,Sigma_x,Sigma_y,Tau_xy
0.1875,-0.05,-49.3686670415172,-0.219231106497974,0.146153023273667
0.19,-0.05,-49.3686651860615,-0.219231074075819,0.146152968773901
0.1925,-0.05,-49.3686632847729,-0.219231041374627,0.146152933758776
0.195,-0.05,-49.3686613698137,-0.219231008876291,0.146152914911687
0.1975,-0.05,-49.3686594672601,-0.21923097697238,0.146152909328916
0.2,-0.05,-49.3686575979018,-0.219230945966784,0.146152914471526
0.2025,-0.05,-49.3686557779533,-0.219230916103009,0.146152928136265
0.205,-0.05,-49.368654019683,-0.219230887562078,0.146152948406546
0.2075,-0.05,-49.3686523319694,-0.21923086047164,0.146152973626429
0.21,-0.05,-49.3686507208005,-0.219230834917012,0.146153002376594
0.2125,-0.05,-49.368649189706,-0.21923081094687,0.146153033436763
0.215,-0.05,-49.3686477401312,-0.219230788581996,0.14615306576418
0.2175,-0.05,-49.3686463717772,-0.219230767812712,0.14615309847266
0.22,-0.05,-49.3686450828827,-0.21923074861747,0.146153130811919
0.2225,-0.05,-49.3686438704702,-0.219230730950062,0.146153162142071
0.225,-0.05,-49.3686427305576,-0.219230714750684,0.146153191931405
0.2275,-0.05,-49.368641658345,-0.219230699953319,0.146153219725411
0.23,-0.05,-49.3686406483601,-0.219230686475752,0.146153245151397
0.2325,-0.05,-49.3686396945955,-0.219230674231613,0.146153267890757
0.235,-0.05,-49.3686387906149,-0.219230663132232,0.146153287672426
0.2375,-0.05,-49.3686379296375,-0.219230653084429,0.146153304271001
0.24,-0.05,-49.3686371046189,-0.21923064398225,0.146153317498255
0.2425,-0.05,-49.3686363083142,-0.219230635719117,0.146153327184296
0.245,-0.05,-49.3686355333204,-0.219230628189585,0.146153333192481
0.2475,-0.05,-49.3686347721354,-0.219230621284169,0.146153335394367
0.25,-0.05,-49.3686340171743,-0.219230614874821,0.146153333683257
0.2525,-0.05,-49.3686332608271,-0.219230608850066,0.146153327966121
0.255,-0.05,-49.3686324954796,-0.219230603085563,0.146153318155393
0.2575,-0.05,-49.3686317135297,-0.219230597439311,0.146153304180247
0.26,-0.05,-49.3686309074502,-0.219230591784631,0.146153285981244
0.2625,-0.05,-49.3686300698069,-0.219230585967574,0.14615326350828
0.265,-0.05,-49.3686291933133,-0.219230579835044,0.146153236738241
0.2675,-0.05,-49.3686282708716,-0.219230573215325,0.146153205660081
0.27,-0.05,-49.3686272956586,-0.219230565938468,0.146153170295663
0.2725,-0.05,-49.368626261187,-0.219230557813286,0.146153130695659
0.275,-0.05,-49.3686251613984,-0.219230548622862,0.146153086953213
0.2775,-0.05,-49.3686239907876,-0.219230538155051,0.146153039214306
0.28,-0.05,-49.3686227445317,-0.219230526171929,0.14615298768413
0.2825,-0.05,-49.3686214186433,-0.219230512411143,0.146152932640297
0.285,-0.05,-49.3686200101643,-0.219230496590066,0.146152874453452
0.2875,-0.05,-49.3686185173922,-0.219230478409054,0.146152813602412
0.29,-0.05,-49.3686169401272,-0.219230457539252,0.146152750685106
0.2925,-0.05,-49.3686152799644,-0.219230433617875,0.146152686445894
0.295,-0.05,-49.3686135406518,-0.219230406266705,0.146152621807684
0.2975,-0.05,-49.3686117284811,-0.219230375082931,0.146152557888216
0.3,-0.05,-49.3686098527181,-0.219230339611762,0.146152496036268
0.3025,-0.05,-49.3686079261423,-0.21923029938935,0.146152437862176
0.305,-0.05,-49.3686059656084,-0.219230253918202,0.146152385285316
0.3075,-0.05,-49.3686039927067,-0.219230202662448,0.146152340559725
0.31,-0.05,-49.3686020344961,-0.219230145057588,0.146152306332403
0.3125,-0.05,-49.3686001243243,-0.219230080510474,0.146152285694439
0.315,-0.05,-49.3685983027648,-0.219230008417201,0.146152282231454
0.3175,-0.05,-49.3685966186236,-0.219229928131053,0.14615230008532
0.32,-0.05,-49.3685951300792,-0.219229838989255,0.146152344017586
0.3225,-0.05,-49.3685939059522,-0.219229740322026,0.146152419495329
0.325,-0.05,-49.3685930270876,-0.219229631461013,0.146152532755386
0.3275,-0.05,-49.3685925878782,-0.21922951173462,0.146152690883483
0.33,-0.05,-49.3685926979233,-0.219229380484227,0.146152901913196
0.3325,-0.05,-49.368593483856,-0.21922923708321,0.146153174918745
0.335,-0.05,-49.3685950913166,-0.219229080953968,0.146153520115096
0.3375,-0.05,-49.3685976870964,-0.219228911576806,0.14615394896658
0.34,-0.05,-49.3686014614441,-0.219228728523292,0.146154474292687
0.3425,-0.05,-49.3686066305516,-0.219228531487001,0.146155110389902
0.345,-0.05,-49.3686134392063,-0.219228320311535,0.146155873145573
0.3475,-0.05,-49.3686221636062,-0.219228095009992,0.146156780156677
0.35,-0.05,-49.3686331143494,-0.219227855828326,0.146157850876144
0.3525,-0.05,-49.3686466395858,-0.219227603303601,0.14615910671864
0.355,-0.05,-49.368663128325,-0.219227338298432,0.146160571167829
0.3575,-0.05,-49.3686830137984,-0.219227062057237,0.146162269925431
0.36,-0.05,-49.3687067770322,-0.219226776324261,0.146164231021787
0.3625,-0.05,-49.3687349504234,-0.219226483376886,0.146166484885777
0.365,-0.05,-49.3687681213636,-0.219226186129074,0.146169064450601
0.3675,-0.05,-49.3688069358403,-0.219225888267966,0.146172005234514
0.37,-0.05,-49.3688521019772,-0.21922559434234,0.146175345360638
0.3725,-0.05,-49.3689043934334,-0.219225309895689,0.146179125580991
0.375,-0.05,-49.3689646525455,-0.219225041615874,0.146183389268742
0.3775,-0.05,-49.3690337931801,-0.219224797489102,0.146188182338273
0.38,-0.05,-49.3691128031136,-0.219224586997251,0.146193553138032
0.3825,-0.05,-49.3692027458666,-0.21922442131605,0.146199552275743
0.385,-0.05,-49.3693047617873,-0.219224313504628,0.146206232372902
0.3875,-0.05,-49.3694200682535,-0.219224278791257,0.146213647752893
0.39,-0.05,-49.3695499587878,-0.219224334795403,0.146221854008511
0.3925,-0.05,-49.3696958008372,-0.219224501848839,0.146230907507772
0.395,-0.05,-49.3698590320472,-0.219224803328763,0.146240864776628
0.3975,-0.05,-49.3700411547125,-0.219225265991491,0.146251781755174
0.4,-0.05,-49.3702437281461,-0.219225920386262,0.146263712933384
0.4025,-0.05,-49.3704683586568,-0.219226801296992,0.146276710363411
0.405,-0.05,-49.3707166868086,-0.219227948208048,0.146290822526359
0.4075,-0.05,-49.3709903716577,-0.21922940590304,0.146306093066747
0.41,-0.05,-49.371291071584,-0.219231225098772,0.146322559446574
0.4125,-0.05,-49.3716204214288,-0.219233463188258,0.146340251422435
0.415,-0.05,-49.3719800055064,-0.219236185043536,0.14635918949702
0.4175,-0.05,-49.3723713262337,-0.21923946410893,0.146379383318791
0.42,-0.05,-49.3727957680542,-0.219243383625721,0.146400830095567
0.4225,-0.05,-49.373254556323,-0.2192480381442,0.146423513093953
0.425,-0.05,-49.3737487109315,-0.219253535402006,0.146447400357744
0.4275,-0.05,-49.3742789944451,-0.2192599987764,0.146472443725579
0.43,-0.05,-49.3748458544634,-0.219267570321386,0.146498578321035
0.4325,-0.05,-49.375449360009,-0.219276414858056,0.146525722786514
0.435,-0.05,-49.3760891316156,-0.219286725323415,0.146553780471465
0.4375,-0.05,-49.3767642645793,-0.219298729900293,0.146582641913931
0.44,-0.05,-49.3774732445992,-0.219312701790719,0.146612189103697
0.4425,-0.05,-49.3782138542246,-0.219328972535073,0.146642302062661
0.445,-0.05,-49.3789830677174,-0.21934795058167,0.146672868531448
0.4475,-0.05,-49.3797769299212,-0.219370147408441,0.146703797698481
0.45,-0.05,-49.3805904117906,-0.219396214624632,0.14673503929833
0.4525,-0.05,-49.3814172302917,-0.219426997410922,0.146766609797593
0.455,-0.05,-49.3822496117765,-0.219463612058191,0.146798627548779
0.4575,-0.05,-49.3830779634046,-0.219507559194891,0.146831358864442
0.46,-0.05,-49.3838903916459,-0.219560888906705,0.146865275056462
0.4625,-0.05,-49.3846719609704,-0.21962643897618,0.146901114378514
0.465,-0.05,-49.3854035018721,-0.219708167186931,0.146939924097713
0.4675,-0.05,-49.3860596192265,-0.219811579875943,0.146983008044607
0.47,-0.05,-49.3866052483989,-0.219944180046331,0.147031575075802
0.4725,-0.05,-49.3869895107103,-0.220115609240249,0.147085557770811
0.475,-0.05,-49.387134429771,-0.22033644944973,0.147140260399335
