X,Y,Sigma_x,Sigma_y,Tau_xy
0.2425,-0.05,-49.1460015845826,-0.218242009018098,0.145494231966349
0.245,-0.05,-49.1460007688813,-0.218242004731499,0.145494230125428
0.2475,-0.05,-49.1459999451968,-0.218242001318049,0.145494222700029
0.25,-0.05,-49.1459991019448,-0.218241998676857,0.145494209316547
0.2525,-0.05,-49.1459982269659,-0.21824199668893,0.145494189577123
0.255,-0.05,-49.1459973075025,-0.218241995226283,0.14549416306716
0.2575,-0.05,-49.1459963301714,-0.218241994154888,0.145494129349972
0.26,-0.05,-49.1459952809503,-0.218241993334406,0.145494087960516
0.2625,-0.05,-49.145994145136,-0.218241992594085,0.145494038411433
0.265,-0.05,-49.1459929073333,-0.218241991759597,0.145493980187011
0.2675,-0.05,-49.1459915514479,-0.218241990636564,0.145493912754
0.27,-0.05,-49.1459900606705,-0.218241989000324,0.145493835556948
0.2725,-0.05,-49.1459884174924,-0.218241986609301,0.145493748024687
0.275,-0.05,-49.1459866037307,-0.218241983191465,0.145493649581724
0.2775,-0.05,-49.1459846005745,-0.218241978436465,0.145493539650742
0.28,-0.05,-49.1459823886577,-0.218241972006966,0.145493417667293
0.2825,-0.05,-49.1459799481512,-0.218241963517459,0.14549328309346
0.285,-0.05,-49.14597725891,-0.218241952532286,0.145493135435733
0.2875,-0.05,-49.1459743006547,-0.218241938577067,0.145492974263119
0.29,-0.05,-49.1459710531908,-0.218241921114227,0.145492799229457
0.2925,-0.05,-49.1459674966915,-0.218241899536103,0.145492610095278
0.295,-0.05,-49.1459636120603,-0.218241873177758,0.145492406779396
0.2975,-0.05,-49.1459593813479,-0.21824184129648,0.1454921893819
0.3,-0.05,-49.1459547882785,-0.218241803066549,0.145491958230505
0.3025,-0.05,-49.1459498188517,-0.21824175759039,0.145491713927808
0.305,-0.05,-49.1459444620637,-0.218241703858443,0.145491457419375
0.3075,-0.05,-49.1459387107672,-0.218241640762134,0.145491190058199
0.31,-0.05,-49.1459325626677,-0.218241567099521,0.145490913669714
0.3125,-0.05,-49.1459260214739,-0.21824148155023,0.145490630649042
0.315,-0.05,-49.1459190982378,-0.218241382675817,0.145490344055501
0.3175,-0.05,-49.1459118128924,-0.21824126892567,0.145490057724997
0.32,-0.05,-49.1459041960082,-0.218241138620615,0.145489776382413
0.3225,-0.05,-49.1458962908054,-0.218240989948485,0.145489505790886
0.325,-0.05,-49.1458881554429,-0.218240820977096,0.145489252895176
0.3275,-0.05,-49.1458798655963,-0.218240629650142,0.145489026009999
0.33,-0.05,-49.1458715173791,-0.21824041378743,0.145488834997551
0.3325,-0.05,-49.1458632306298,-0.218240171103664,0.145488691461086
0.335,-0.05,-49.1458551525659,-0.218239899216651,0.145488609010573
0.3375,-0.05,-49.1458474618921,-0.218239595644782,0.145488603474488
0.34,-0.05,-49.145840373341,-0.21823925784912,0.145488693199866
0.3425,-0.05,-49.1458341427333,-0.218238883266361,0.145488899350405
0.345,-0.05,-49.1458290725437,-0.2182384693533,0.145489246205599
0.3475,-0.05,-49.145825517989,-0.218238013600883,0.14548976151647
0.35,-0.05,-49.145823893743,-0.218237513614392,0.145490476866186
0.3525,-0.05,-49.1458246811875,-0.218236967175429,0.145491428061662
0.355,-0.05,-49.1458284363133,-0.2182363723308,0.145492655525377
0.3575,-0.05,-49.1458357982117,-0.218235727500912,0.145494204728194
0.36,-0.05,-49.1458474981832,-0.218235031600539,0.145496126602705
0.3625,-0.05,-49.145864369391,-0.218234284146929,0.145498477975591
0.365,-0.05,-49.1458873570765,-0.218233485471046,0.145501321986999
0.3675,-0.05,-49.1459175292328,-0.218232636891948,0.145504728491707
0.37,-0.05,-49.1459560876207,-0.218231740919649,0.145508774434775
0.3725,-0.05,-49.146004379056,-0.218230801555904,0.145513544163319
0.375,-0.05,-49.1460639067066,-0.218229824549964,0.145519129667458
0.3775,-0.05,-49.1461363412205,-0.218228817744272,0.145525630717982
0.38,-0.05,-49.1462235313595,-0.218227791454505,0.145533154870337
0.3825,-0.05,-49.1463275138066,-0.218226758894769,0.145541817293025
0.385,-0.05,-49.1464505216183,-0.218225736667736,0.145551740373957
0.3875,-0.05,-49.1465949908211,-0.218224745274046,0.14556305302483
0.39,-0.05,-49.1467635644027,-0.218223809690471,0.145575889659947
0.3925,-0.05,-49.146959092918,-0.218222960035708,0.145590388740516
0.395,-0.05,-49.1471846307162,-0.21822223224005,0.145606690787977
0.3975,-0.05,-49.147443426591,-0.218221668833691,0.14562493578984
0.4,-0.05,-49.1477389074925,-0.21822131970533,0.145645259868898
0.4025,-0.05,-49.1480746537214,-0.21822124298687,0.145667791045252
0.405,-0.05,-49.1484543636635,-0.218221505926909,0.145692644002096
0.4075,-0.05,-49.1488818059987,-0.218222185838192,0.145719913634118
0.41,-0.05,-49.1493607568136,-0.21822337101471,0.145749667181892
0.4125,-0.05,-49.1498949188334,-0.218225161673783,0.145781934825948
0.415,-0.05,-49.1504878195732,-0.218227670867831,0.145816698378782
0.4175,-0.05,-49.1511426847146,-0.218231025373907,0.145853877896935
0.42,-0.05,-49.1518622825597,-0.218235366517305,0.145893315927099
0.4225,-0.05,-49.1526487349271,-0.21824085082228,0.145934758982354
0.425,-0.05,-49.1535032891871,-0.218247650580017,0.145977835994739
0.4275,-0.05,-49.1544260453746,-0.218255954217168,0.146022033152695
0.43,-0.05,-49.1554156314437,-0.218265966497517,0.146066664662009
0.4325,-0.05,-49.1564688184655,-0.218277908247215,0.146110838733703
0.435,-0.05,-49.157580066213,-0.218292015971207,0.14615341779159
0.4375,-0.05,-49.1587409872612,-0.218308540864855,0.146192971724824
0.44,-0.05,-49.159939714729,-0.218327747287519,0.146227722199686
0.4425,-0.05,-49.16116015449,-0.21834991050317,0.146255475496213
0.445,-0.05,-49.1623810961073,-0.218375313125055,0.14627353971824
0.4475,-0.05,-49.1635751471309,-0.21840423982518,0.146278620237494
0.45,-0.05,-49.1647074405451,-0.218436968400926,0.146266683654034
0.4525,-0.05,-49.1657340426279,-0.218473754532103,0.146232774843915
0.455,-0.05,-49.1665999531443,-0.218514803518593,0.14617076160914
0.4575,-0.05,-49.1672365338463,-0.218560215410675,0.146072964082823
0.46,-0.05,-49.1675581115725,-0.218609874317347,0.145929594555861
0.4625,-0.05,-49.1674573547025,-0.218663218176535,0.145727873886177
0.465,-0.05,-49.1667987756322,-0.218718750781601,0.145450577051566
0.4675,-0.05,-49.1654092916913,-0.218772992384152,0.145073535215864
0.47,-0.05,-49.163064046218,-0.218818202088735,0.144561167789429
0.4725,-0.05,-49.1594643959634,-0.218837401893329,0.143858186597767
0.475,-0.05,-49.1542026365687,-0.218793465184471,0.142873679920104
0.4775,-0.05,-49.146703772919,-0.218605151730753,0.141449733442792
0.48,-0.05,-49.1361267698282,-0.21809450568428,0.139298229807713
0.4825,-0.05,-49.1211931056663,-0.216871743828069,0.135871584611289
0.485,-0.05,-49.0998833127603,-0.214084814682715,0.130095844693957
0.4875,-0.05,-49.0688921350327,-0.207879506514326,0.119817660056435
0.49,-0.05,-49.0226423558903,-0.194248877854136,0.100661561338219
0.4925,-0.05,-48.9515009843518,-0.16457801666677,0.0636889079687947
0.495,-0.05,-48.8386091439089,-0.0995972145095401,-0.00937960614886783
0.4975,-0.05,-48.6545151568137,0.0661852662158668,-0.156912375395507
0.5,-0.05,-49.2183651407417,-0.0516987407314815,-0.051698740737977
0,-0.0475,-46.5553145047028,-0.270947751823131,-0.282874860020011
0.0025,-0.0475,-47.5332462074133,-0.253741206786151,-0.142772822445461
0.005,-0.0475,-47.4663999933916,-0.0444455405121703,-0.0506934254697783
0.0075,-0.0475,-47.4233268417078,-0.0149477109760644,-0.0180714622113246
0.01,-0.0475,-47.4013046498402,-0.00639909511609638,-0.00690158466747331
0.0125,-0.0475,-47.3895464696134,-0.00314018176885315,-0.00271031656370238
0.015,-0.0475,-47.3829897947539,-0.00172072988879416,-0.000996756261494212
0.0175,-0.0475,-47.3792226758922,-0.00103942485560241,-0.000225133685148843
0.02,-0.0475,-47.3770385495805,-0.000682427049939704,0.00016592918608561
0.0225,-0.0475,-47.375804471211,-0.000478941334661679,0.000391570965299829
0.025,-0.0475,-47.375171809177,-0.000353412801796201,0.000537627314583354
0.0275,-0.0475,-47.3749383532389,-0.000270304203775495,0.000639927889012348
0.03,-0.0475,-47.3749803124431,-0.000211878087325109,0.000714384483673484
0.0325,-0.0475,-47.3752176755093,-0.000168745537135824,0.000768730239272181
0.035,-0.0475,-47.3755959762807,-0.00013564527500165,0.000807214185401722
0.0375,-0.0475,-47.3760763621967,-0.000109467578553198,0.000832527662627739
